relation	path	child_id	minCardinality	maxCardinality
component	/	GENEPIO:0002082	1	
component	/	GENEPIO:0002081	1	
component	/	GENEPIO:0002084	1	
component	/	GENEPIO:0002087	1	
component	/	GENEPIO:0002106	1	
component	/	GENEPIO:0002088	1	
component	/	GENEPIO:0002085	1	
component	/	GENEPIO:0002090	1	
component	/	GENEPIO:0002089	1	
component	/	GENEPIO:0002092	1	
component	/	GENEPIO:0002091	1	
component	/	GENEPIO:0002105	1	1
component	/	NCIT:C93874	1	1
component	/	NCIT:C40974	1	1
component	/	NCIT:C40975	1	1
component	/	NCIT:C93582	1	1
component	/	NCIT:C42775	1	1
component	/	GENEPIO:0001756	1	1
component	/	NCIT:C25464	1	1
component	/	ENVO:00000005	1	1
component	/	NCIT:C80234	1	1
component	/	NCIT:C25690	1	1
component	/GENEPIO:0002082	NCIT:C40978	1	1
component	/GENEPIO:0002082	GENEPIO:0001896	1	1
component	/	GENEPIO:0001237	1	1
component	/	GENEPIO:0002076		1
component	/	GENEPIO:0002086	1	1
component	/	OBI:0001619	1	1
component	/	OBI:0000659	1	
component	/	GENEPIO:0002094		1
component	/	ENVO:00010483		1
component	/	ENVO:00002297		1
component	/	GENEPIO:0001567		1
component	/	GENEPIO:0000110		1
component	/	GENEPIO:0001617		1
component	/	GENEPIO:0000028		1
component	/	GENEPIO:0000025		1
component	/GENEPIO:0002081	ENVO:00000191		1
component	/GENEPIO:0002081	ENVO:00000002		1
component	/GENEPIO:0002081	ENVO:00000428		1
component	/GENEPIO:0002081	GENEPIO:0001656	0	
component	/GENEPIO:0002081	GENEPIO:0000118	1	1
component	/GENEPIO:0002081	GENEPIO:0002097	1	1
component	/GENEPIO:0002081	GENEPIO:0001785	1	1
component	/GENEPIO:0002081/GENEPIO:0002086	GENEPIO:0001863	1	1
component	/GENEPIO:0002081/GENEPIO:0002086	GENEPIO:0001862	1	1
unit	/GENEPIO:0002081/GENEPIO:0002086/GENEPIO:0001656	UO:0000185		
unit	/GENEPIO:0002081/GENEPIO:0002086/GENEPIO:0001656	UO:0000185		
component	/GENEPIO:0002081/GENEPIO:0002086			
component	/GENEPIO:0002081/GENEPIO:0002086			
component	/GENEPIO:0002081/GENEPIO:0002086			
component	/GENEPIO:0002081			
component	/	GENEPIO:0001640	1	1
component	/	GENEPIO:0001079		1
component	/	GENEPIO:0001429		1
component	/	GENEPIO:0001644		1
component	/	OBI:0000079		1
component	/	GENEPIO:0002107	1	1
component	/	GENEPIO:0002078	1	1
component	/	GENEPIO:0002079	1	1
component	/	GENEPIO:0001533		1
component	/	FOODON:03450002		1
component	/	FOODON:03440011		1
component	/	FOODON:03430113	0	
component	/	FOODON:03470107		1
component	/	FOODON:03490100		1
component	/	FOODON:03480020		1
component	/	FOODON:03500010		1
component	/GENEPIO:0002106	FOODON:03411564		1
component	/GENEPIO:0002106	FOODON:00002381		1
component	/GENEPIO:0002106	FOODON:03311737		1
component	/GENEPIO:0002106	NCIT:C71898		1
component	/	GENEPIO:0001100	1	
component	/	GENEPIO:0002102		1
component	/	NCIT:C85540		1
component	/	GENEPIO:0002101		1
component	/	GENEPIO:0002100		1
component	/	GENEPIO:0002047		1
component	/	GENEPIO:0002062		1
component	/	GENEPIO:0002049		1
component	/GENEPIO:0002088	GENEPIO:0001187	1	1
component	/GENEPIO:0002088	GENEPIO:0002112	1	1
component	/GENEPIO:0002088	GENEPIO:0002080	1	1
component	/GENEPIO:0002088	GENEPIO:0001001	1	1
component	/GENEPIO:0002088	NCIT:C85539	1	1
component	/GENEPIO:0002088/GENEPIO:0001100	Ndfba4da0eb404fc68bc25669c0d5afea	1	1
component	/GENEPIO:0002088/GENEPIO:0001100/GENEPIO:0002112	GENEPIO:0002110	1	1
component	/GENEPIO:0002088/GENEPIO:0001100/GENEPIO:0002112	GENEPIO:0002044	1	1
unit	/GENEPIO:0002088/GENEPIO:0001100/GENEPIO:0002112/Ndfba4da0eb404fc68bc25669c0d5afea	UO:0000016		
unit	/GENEPIO:0002088/GENEPIO:0001100/GENEPIO:0002112/Ndfba4da0eb404fc68bc25669c0d5afea	UO:0000273		
unit	/GENEPIO:0002088/GENEPIO:0001100/GENEPIO:0002112/Ndfba4da0eb404fc68bc25669c0d5afea	UO:0000274		
unit	/GENEPIO:0002088	UO:0000016		
unit	/GENEPIO:0002088	UO:0000274		
unit	/GENEPIO:0002088	UO:0000016		
unit	/GENEPIO:0002088	UO:0000274		
component	/	GENEPIO:0000069	1	1
component	/	GENEPIO:0002139		1
component	/	OBI:0000079		1
component	/	GENEPIO:0002093		1
component	/	EFO:0000683		1
component	/	GENEPIO:0000085	1	1
component	/	GENEPIO:0000149		1
component	/	GENEPIO:0000075		1
component	/	GENEPIO:0001921	1	1
component	/	GENEPIO:0000090	1	1
component	/	GENEPIO:0000151		1
component	/	GENEPIO:0000153		1
component	/	GENEPIO:0000152		1
component	/	GENEPIO:0000095	1	1
component	/GENEPIO:0002085	GENEPIO:0000084	1	
component	/GENEPIO:0002085	GENEPIO:0002096	1	
component	/GENEPIO:0002085	GENEPIO:0002095	1	
component	/GENEPIO:0002085	GENEPIO:0000150	1	
component	/	GENEPIO:0002137		1
component	/	GENEPIO:0001561		1
component	/	GENEPIO:0002138		1
component	/	GENEPIO:0000093		1
component	/	GENEPIO:0000092		1
component	/	OBI:0001941		1
unit	/GENEPIO:0002090	UO:0000244		
unit	/GENEPIO:0002090	UO:0000329		
unit	/GENEPIO:0002090	UO:0000244		
unit	/GENEPIO:0002090	UO:0000329		
unit	/GENEPIO:0002090	UO:0000244		
unit	/GENEPIO:0002090	UO:0000329		
component	/	GENEPIO:0002130		1
component	/	GENEPIO:0002131		1
component	/	GENEPIO:0002132		1
component	/	GENEPIO:0002140	1	
component	/	GENEPIO:0001640	1	1
component	/	GENEPIO:0001079	1	1
component	/	GENEPIO:0002135	1	1
component	/	OBI:0001619	1	1
component	/	GENEPIO:0001797	1	1
component	/	GENEPIO:0002086	1	1
component	/	GENEPIO:0002076	1	1
component	/	GENEPIO:0001567		1
component	/	GENEPIO:0000110		1
component	/GENEPIO:0002092			
component	/GENEPIO:0002092	Nee50babdc7db4a83ab1c6168ea5b5a9c		1
component	/GENEPIO:0002092/GENEPIO:0001797	NCIT:C25191	1	1
component	/GENEPIO:0002092/GENEPIO:0001797	NCIT:C93874	1	1
component	/GENEPIO:0002092	GENEPIO:0001656	0	
component	/GENEPIO:0002092	GENEPIO:0000118	1	1
component	/GENEPIO:0002092	GENEPIO:0002097	1	1
component	/GENEPIO:0002092	GENEPIO:0001785	1	1
component	/GENEPIO:0002092/GENEPIO:0002086	GENEPIO:0001863	1	1
component	/GENEPIO:0002092/GENEPIO:0002086	GENEPIO:0001862	1	1
